Tue Aug 29 17:02:38 2023    profile.bin

         22007397 function calls (22007369 primitive calls) in 10.037 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 arrayprint.py:91(set_printoptions)
      576    0.000    0.000    0.000    0.000 base.py:1188(isspmatrix)
    72703    0.023    0.000    0.031    0.000 basic.py:104(notify_used)
    73929    0.015    0.000    0.015    0.000 basic.py:134(notify_modified)
      192    0.000    0.000    0.000    0.000 basic.py:141(notify_replaced)
     2232    0.000    0.000    0.001    0.000 basic.py:189(safe_name)
    73378    0.010    0.000    0.010    0.000 basic.py:213(model)
   113010    0.025    0.000    0.025    0.000 basic.py:251(__init__)
   142995    0.022    0.000    0.022    0.000 basic.py:255(name)
      192    0.000    0.000    0.000    0.000 basic.py:28(get_linear_factory)
   218599    0.046    0.000    0.046    0.000 basic.py:306(__init__)
    77984    0.029    0.000    0.040    0.000 basic.py:31(lfactory)
      735    0.001    0.000    0.002    0.000 basic.py:326(origin)
   435005    0.059    0.000    0.059    0.000 basic.py:333(model)
   141498    0.025    0.000    0.025    0.000 basic.py:346(_set_index)
        1    0.000    0.000    0.000    0.000 constants.py:296(is_minimize)
        1    0.000    0.000    0.000    0.000 constants.py:322(cplex_coef)
        1    0.000    0.000    0.000    0.000 constants.py:335(parse)
   142996    0.075    0.000    0.111    0.000 constr.py:223(__init__)
   142995    0.029    0.000    0.029    0.000 constr.py:249(cplex_code)
   142995    0.022    0.000    0.022    0.000 constr.py:253(get_left_expr)
   142995    0.017    0.000    0.017    0.000 constr.py:261(get_right_expr)
   142995    0.107    0.000    0.132    0.000 constr.py:299(cplex_num_rhs)
   774853    0.416    0.000    0.619    0.000 constr.py:389(_generate_net_linear_coefs2_unsorted)
   142996    0.122    0.000    0.284    0.000 constr.py:465(__init__)
   145227    0.014    0.000    0.014    0.000 constr.py:497(is_linear)
     2232    0.000    0.000    0.000    0.000 constr.py:505(cplex_range_value)
      682    0.000    0.000    0.000    0.000 constr.py:557(left_expr)
   140763    0.027    0.000    0.027    0.000 constr.py:667(_get_index_scope)
   142996    0.188    0.000    0.641    0.000 constr.py:670(is_trivial)
   142996    0.107    0.000    0.362    0.000 constr.py:673(has_nonzero_coef)
   285992    0.057    0.000    0.224    0.000 constr.py:674(<genexpr>)
        6    0.000    0.000    0.000    0.000 context.py:205(__init__)
       13    0.000    0.000    0.000    0.000 context.py:215(__setattr__)
        4    0.000    0.000    0.000    0.000 context.py:218(__getattr__)
       16    0.000    0.000    0.000    0.000 context.py:221(set_attribute)
        8    0.000    0.000    0.000    0.000 context.py:224(get_attribute)
        1    0.000    0.000    0.000    0.000 context.py:248(__init__)
        1    0.000    0.000    0.000    0.000 context.py:272(log_output_as_stream)
        1    0.000    0.000    0.000    0.000 context.py:342(__init__)
        4    0.000    0.000    0.000    0.000 context.py:374(__getattr__)
        1    0.000    0.000    0.001    0.001 context.py:386(make_default_context)
        1    0.000    0.000    0.000    0.000 context.py:474(update)
        1    0.000    0.000    0.000    0.000 context.py:522(update_key_value)
        1    0.000    0.000    0.001    0.001 context.py:544(read_settings)
        1    0.000    0.000    0.000    0.000 context.py:616(create_default_auto_publish_context)
   286350    0.103    0.000    0.340    0.000 contextlib.py:157(helper)
   286350    0.196    0.000    0.237    0.000 contextlib.py:59(__init__)
   286350    0.077    0.000    0.577    0.000 contextlib.py:79(__enter__)
   286350    0.141    0.000    0.416    0.000 contextlib.py:85(__exit__)
        4    0.000    0.000    0.000    0.000 cpExample.py:38(__init__)
        5    0.000    0.000    0.000    0.000 cplex_adapter.py:156(<genexpr>)
        1    0.000    0.000    0.000    0.000 cplex_adapter.py:203(_monkeypatch_LAU)
   140856    0.484    0.000    3.325    0.000 cplex_adapter.py:252(fast_add_linear1290)
        1    0.000    0.000    0.004    0.004 cplex_adapter.py:50(__init__)
     4638    0.001    0.000    0.001    0.000 cplex_engine.py:1240(safe_len)
     1546    0.006    0.000    0.110    0.000 cplex_engine.py:1244(fast_add_cols)
        1    0.000    0.000    0.000    0.000 cplex_engine.py:1271(_fast_set_linear_objective)
        1    0.000    0.000    0.000    0.000 cplex_engine.py:1492(set_objective_sense)
        1    0.000    0.000    0.000    0.000 cplex_engine.py:1554(set_objective_expr)
   142404    0.048    0.000    0.048    0.000 cplex_engine.py:2889(_resync_if_needed)
   140763    0.046    0.000    0.046    0.000 cplex_engine.py:371(allocate_one_index_return)
     1639    0.000    0.000    0.000    0.000 cplex_engine.py:375(allocate_range_index_return)
        1    0.000    0.000    0.000    0.000 cplex_engine.py:382(_initialize_constants_from_cplex)
        1    0.000    0.000    0.004    0.004 cplex_engine.py:465(__init__)
        5    0.000    0.000    0.000    0.000 cplex_engine.py:494(<genexpr>)
        1    0.000    0.000    0.000    0.000 cplex_engine.py:520(_cpx_set_all_streams)
        1    0.000    0.000    0.000    0.000 cplex_engine.py:546(set_streams)
     1546    0.000    0.000    0.000    0.000 cplex_engine.py:676(compute_cpx_vartype)
      735    0.001    0.000    0.022    0.000 cplex_engine.py:683(create_one_variable)
     1546    0.003    0.000    0.117    0.000 cplex_engine.py:691(create_variables)
     1546    0.002    0.000    0.113    0.000 cplex_engine.py:705(_create_cpx_variables)
   142995    0.141    0.000    0.989    0.000 cplex_engine.py:847(linear_ct_to_cplex)
   142995    0.336    0.000    0.795    0.000 cplex_engine.py:856(make_cpx_linear_from_exprs)
   140763    0.159    0.000    3.522    0.000 cplex_engine.py:902(_make_cplex_linear_ct)
   140763    0.256    0.000    4.964    0.000 cplex_engine.py:913(create_linear_constraint)
       93    0.001    0.000    0.045    0.000 cplex_engine.py:924(create_block_linear_constraints)
       93    0.000    0.000    0.002    0.000 cplex_engine.py:929(<listcomp>)
     2325    0.000    0.000    0.001    0.000 cplex_engine.py:930(<genexpr>)
       93    0.000    0.000    0.001    0.000 cplex_engine.py:934(<listcomp>)
       93    0.000    0.000    0.032    0.000 cplex_engine.py:936(<listcomp>)
     2325    0.000    0.000    0.001    0.000 cplex_engine.py:938(<genexpr>)
        1    0.000    0.000    0.000    0.000 dafunc.py:93(__init__)
